icao24,approxDepartureTime,DepartureAirport,approxArrivalTime,ArrivalAirport,flightnumber
ac00b1,12/19/2024 13:27,KSFO,12/19/2024 15:35,KDEN,SWA142  
ac058a,12/19/2024 13:14,KCVG,12/19/2024 14:58,KMCO,DAL511  
ac20a1,12/19/2024 13:38,KONT,12/19/2024 15:26,KDEN,SWA479  
ac259b,12/19/2024 13:43,KATL,12/19/2024 16:40,PR20,DAL573  
ac6f31,12/19/2024 15:10,KCLT,12/19/2024 15:24,KCQW,PDT5682 
ac7ba4,12/19/2024 12:52,KBOI,12/19/2024 14:56,1AZ8,STT90   
ac96df,12/19/2024 15:01,KLAS,12/19/2024 15:31,57CL,JANET10 
ace5bb,12/19/2024 13:46,KDTW,12/19/2024 15:05,K5J9,DAL1145 
ace621,12/19/2024 14:08,8TX7,12/19/2024 14:49,32MS,SKW5049 
acf1a3,12/19/2024 14:28,KORD,12/19/2024 15:31,37MO,PDT5982 
ad3616,12/19/2024 15:11,KTPA,12/19/2024 15:31,FL90,EJA950  
ad5c38,12/19/2024 14:46,KATL,12/19/2024 15:24,KCKI,DAL3047 
ad83f3,12/19/2024 14:04,KMKL,12/19/2024 14:52,KATL,LYM5870 
adfc96,12/19/2024 14:19,K82J,12/19/2024 15:08,4MS5,CONGO14 
adfcaa,12/19/2024 16:05,K06M,12/19/2024 16:27,90AR,MOON22  
adfe54,12/19/2024 14:33,KFCI,12/19/2024 15:36,K0A9,PAT325  
ae006f,12/19/2024 14:37,KF14,12/19/2024 14:58,5TA4,BURNY11 
ae00a2,12/19/2024 16:09,4TA5,12/19/2024 16:22,TS20,SHAPE41 
ae08ab,12/19/2024 15:03,OK11,12/19/2024 15:15,KDUC,SNAKE1  
ae08fc,12/19/2024 14:10,KOZR,12/19/2024 14:48,26AL,WING68  
ae1e93,12/19/2024 15:07,KRND,12/19/2024 15:44,2TS8,ROUGH81 
ae1eb1,12/19/2024 15:04,KNGP,12/19/2024 15:49,KNGP,RNGR804 
ae1ebc,12/19/2024 14:31,KNSE,12/19/2024 14:52,MS27,BB055   
ae2ed7,12/19/2024 14:45,KNGP,12/19/2024 15:04,KNGP,RNGR804 
ae62db,12/19/2024 15:54,1MS8,12/19/2024 16:04,1MS8,VV1A162 
ae68ba,12/19/2024 15:14,KEGI,12/19/2024 16:28,KMKV,        
c06a88,12/19/2024 11:49,CYYZ,12/19/2024 15:19,MDSB,TSC210  
e47e7e,12/19/2024 15:04,SBSP,12/19/2024 15:33,SDJO,GLO2146 
e47e7f,12/19/2024 14:29,SNJL,12/19/2024 15:16,SJNQ,GLO1721 
e497ad,12/19/2024 14:32,SIPA,12/19/2024 14:50,SNZA,PSTGG   
