icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
ae08fc,2024-12-19 14:10:54,KOZR,2024-12-19 14:48:31,26AL,WING68  ,5830,1005,5387,4768,201,11
ae1408,2024-12-19 14:16:21,KRND,2024-12-19 14:44:08,2TS8,JINX31  ,943,71,3565,2826,381,30
ae1e93,2024-12-19 15:07:00,KRND,2024-12-19 15:44:03,2TS8,ROUGH81 ,701,64,22003,2651,381,93
ae1eb1,2024-12-19 15:04:27,KNGP,2024-12-19 15:49:04,KNGP,RNGR804 ,9212,3095,5522,3469,1,8
ae1ebc,2024-12-19 14:31:52,KNSE,2024-12-19 14:52:35,MS27,BB055   ,5441,655,11597,5484,170,11
ae2ed7,2024-12-19 14:45:00,KNGP,2024-12-19 15:04:27,KNGP,RNGR804 ,2758,268,9633,3088,166,7
ae62db,2024-12-19 15:54:29,1MS8,2024-12-19 16:04:48,1MS8,VV1A162 ,14541,4347,17384,4386,0,2
c00727,2024-12-19 13:30:55,CYUL,2024-12-19 14:31:18,,CRQ921  ,1340,13,0,0,126,0
c013e6,2024-12-19 14:05:31,CFQ7,2024-12-19 14:33:29,,AKT1706 ,4851,1062,0,0,60,0
c0226c,2024-12-19 08:40:13,CYYC,2024-12-19 14:30:49,MDSB,WJA2376 ,2466,47,26162,4468,64,0
c034dd,2024-12-19 13:26:47,CYUL,2024-12-19 14:36:25,CYVO,AM414   ,1272,74,20458,2710,126,0
c04850,2024-12-19 14:08:05,CYUL,2024-12-19 14:39:03,,JZA7912 ,1553,345,0,0,127,0
c0682b,2024-12-19 13:58:55,CYMX,2024-12-19 14:33:39,,NRL942  ,2266,89,0,0,120,0
c07f01,2024-12-19 13:50:25,CYYC,2024-12-19 14:43:36,,WJA4020 ,2538,63,0,0,64,0
c0807f,2024-12-19 13:47:34,CYYC,2024-12-19 14:48:06,CJS4,WEN3480 ,3426,24,15411,2729,65,3
e480a4,2024-12-19 12:20:12,SBGR,2024-12-19 14:47:52,,TAM3438 ,26241,1894,0,0,49,0
e482c0,2024-12-19 15:02:26,,2024-12-19 15:14:40,SSMV,GLO1366 ,0,0,13416,3852,0,6
e48c30,2024-12-19 12:18:19,SBBP,2024-12-19 14:42:44,SICB,GLO1554 ,45018,1992,16213,4811,12,0
e48ce6,2024-12-19 13:20:55,SBSP,2024-12-19 14:30:07,SJNQ,TAM4762 ,2432,188,13300,7138,79,0
e48e98,2024-12-19 13:52:46,SBKP,2024-12-19 14:38:41,SJJR,AZU4119 ,4233,336,13165,4012,143,0
e49527,2024-12-19 11:43:36,SBGL,2024-12-19 14:46:02,SJNQ,GLO9060 ,2031,23,8484,7305,42,0
e497ad,2024-12-19 14:32:43,SIPA,2024-12-19 14:50:34,SNZA,PSTGG   ,2097,5532,14607,5523,0,0
e4997c,2024-12-19 14:12:48,SBSP,2024-12-19 14:29:28,SNFQ,TAM3050 ,4152,394,12382,9585,81,0
e80277,2024-12-19 14:13:07,SPJC,2024-12-19 14:55:16,,LPE2130 ,2473,323,0,0,11,0
